Date,P/L,Amt,,
15-12-2017,2255.099,1397226.248,,
18-12-2017,-2200,1395026.248,,
19-12-2017,-4452.02,1390574.228,,
20-12-2017,10007.32,1400581.548,,
21-12-2017,-6600,1393981.548,,
22-12-2017,6701.503,1400683.051,,
26-12-2017,-481.709,1400201.342,,
27-12-2017,2874.259,1403075.601,,
28-12-2017,10939.54,1414015.141,,
29-12-2017,7700.001,1421715.142,,
01-01-2018,232.8941,400232.8941,,
02-01-2018,4011.989,404244.8831,,
03-01-2018,-8800,395444.8831,,
04-01-2018,5615.583,401060.4661,,
05-01-2018,-3109.14,397951.3261,,
08-01-2018,2048.572,399999.8981,,
09-01-2018,1369.001,401368.8991,,
10-01-2018,133.0757,401501.9748,,
11-01-2018,-3660.49,397841.4848,,
12-01-2018,-4400,393441.4848,,
15-01-2018,-1505.51,391935.9748,,
16-01-2018,12965.79,404901.7648,,
17-01-2018,-4400,400501.7648,,
18-01-2018,57624,458125.7648,,
19-01-2018,-2858.08,455267.6848,,
22-01-2018,24398.01,479665.6948,,
23-01-2018,3824.394,483490.0888,,
24-01-2018,13035.99,496526.0788,,
25-01-2018,-4400,492126.0788,,
29-01-2018,13719.42,505845.4988,,
31-01-2018,11979.63,517825.1288,,
01-02-2018,-3435.72,514389.4088,,
07-02-2018,18040.34,532429.7488,,
08-02-2018,-8800,523629.7488,,
12-02-2018,-1564.45,522065.2988,,
14-02-2018,4417.404,526482.7028,,
15-02-2018,-6600,519882.7028,,
16-02-2018,22953.89,542836.5928,,
19-02-2018,3853.436,546690.0288,,
20-02-2018,3068.836,549758.8648,,
21-02-2018,4754.972,554513.8368,,
23-02-2018,-8800,545713.8368,,
26-02-2018,-4400,541313.8368,,
27-02-2018,2106.254,543420.0908,,
01-03-2018,6562.399,549982.4898,,
06-03-2018,20634.24,570616.7298,,
08-03-2018,2119.501,572736.2308,,
09-03-2018,-2200,570536.2308,,
12-03-2018,-6600,563936.2308,,
13-03-2018,-2200,561736.2308,,
14-03-2018,-2045.8,559690.4308,,
15-03-2018,-2200,557490.4308,,
19-03-2018,-4400,553090.4308,,
21-03-2018,-6600,546490.4308,,
22-03-2018,1627.975,548118.4058,,
26-03-2018,-4400,543718.4058,,
27-03-2018,7232.171,550950.5768,,
02-04-2018,-6600,544350.5768,,
03-04-2018,7092.597,551443.1738,,
04-04-2018,4147.335,555590.5088,,
05-04-2018,-8800,546790.5088,,
06-04-2018,2150.67,548941.1788,,
09-04-2018,-4682.61,544258.5688,,
10-04-2018,12372.03,556630.5988,,
11-04-2018,-6600,550030.5988,,
13-04-2018,-6600,543430.5988,,
17-04-2018,7392.174,550822.7728,,
18-04-2018,-2646.69,548176.0828,,
19-04-2018,-4400,543776.0828,,
23-04-2018,9508.887,553284.9698,,
24-04-2018,10235.73,563520.6998,,
25-04-2018,-6600,556920.6998,,
26-04-2018,11775.02,568695.7198,,
27-04-2018,3576.113,572271.8328,,
30-04-2018,19127.45,591399.2828,,
02-05-2018,44005.71,635404.9928,,
03-05-2018,-2200,633204.9928,,
04-05-2018,9411.472,642616.4648,,
07-05-2018,-8800,633816.4648,,
08-05-2018,14564.37,648380.8348,,
09-05-2018,4840.565,653221.3998,,
10-05-2018,-1903.55,651317.8498,,
